shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_3,45.4752401376654,-73.6004674928162,5
1_3,45.4737620423281,-73.6030995911778,6
1_3,45.4536719903492,-73.6417387653488,7
1_3,45.4518679260335,-73.6452117600281,8
1_3,45.4508920318681,-73.6483670905082,9
1_3,45.4510226262196,-73.6517042619738,10
1_3,45.4530791938149,-73.6675123451849,11
1_3,45.4530383149763,-73.6708108164136,12
1_3,45.4497758736829,-73.6910004856016,13
1_3,45.4486231578361,-73.7070152529351,14
1_3,45.4486782577965,-73.7113237489741,15
1_3,45.4491999376701,-73.7431076525197,16
1_3,45.4495938997837,-73.7642548484703,17
1_3,45.4499407936433,-73.7882530550694,18
1_3,45.4497451835371,-73.7908728809287,19
1_3,45.4494688562197,-73.7933644257034,20
1_3,45.4486558862315,-73.7980392478731,21
1_3,45.4472468978668,-73.8034394320935,22
1_3,45.4437147127574,-73.8151681984421,23
1_3,45.442414831553,-73.8198778299671,24
1_3,45.4404595797778,-73.8271399679248,25
1_3,45.4349736654937,-73.847391976023,26
1_4,45.4596284611522,-74.1409350240092,1
1_4,45.4525447041893,-74.1283253408565,2
1_4,45.4462575417196,-74.1195753907624,3
1_4,45.4402539275354,-74.1064588840006,4
1_4,45.4374240883096,-74.1004595039184,5
1_4,45.4341300362245,-74.0954144247388,6
1_4,45.4283481751877,-74.0893983030334,7
1_4,45.424333344938,-74.0861873876114,8
1_4,45.4130367490679,-74.0744569234489,9
1_4,45.4120381968964,-74.0726070567309,10
1_4,45.4090485395032,-74.0639918320249,11
1_4,45.4020746339531,-74.0566541753615,12
1_4,45.4010119944999,-74.0549704104298,13
1_4,45.3989996709264,-74.0505567791293,14
1_4,45.3861752577178,-74.0221080447962,15
1_4,45.3857978287874,-74.0200230471652,16
1_4,45.3863907208218,-74.0082543463005,17
1_4,45.3870348178136,-73.9947746199046,18
1_4,45.3873250808923,-73.9900648658634,19
1_4,45.3880034867826,-73.9850263505148,20
1_4,45.3890116539696,-73.980692899987,21
1_4,45.3909258680365,-73.9748343586701,22
1_4,45.3934686146473,-73.9692360571231,23
1_4,45.3959228309534,-73.9654246607855,24
1_4,45.3980041662096,-73.9625550884482,25
1_4,45.401727690001,-73.9585617668454,26
1_4,45.4057484751933,-73.9544553355197,27
1_4,45.4067075732295,-73.9531344480273,28
1_4,45.4076060412765,-73.9512126079595,29
